Model: Qwen_Qwen2.5-7B  r_cap=4  W=4096  scheme=bitmap+mantissa-borrow
layer                                                        numel   saved%   loss_ct   loss%   SNR(dB)  rms_norm%
------------------------------------------------------------------------------------------------------------------
model.embed_tokens.weight                               544,997,376   18.74% 2,913,021  0.535%     26.15    4.9264%
model.layers.0.mlp.down_proj.weight                     67,895,296   18.74%    12,926  0.019%     60.61    0.0932%
model.layers.0.mlp.gate_proj.weight                     67,895,296   18.74%    34,821  0.051%     39.26    1.0892%
model.layers.0.mlp.up_proj.weight                       67,895,296   18.74%     8,323  0.012%     65.59    0.0525%
model.layers.0.self_attn.k_proj.weight                   1,835,008   18.74%       129  0.007%     71.35    0.0271%
model.layers.0.self_attn.o_proj.weight                  12,845,056   18.74%     1,352  0.011%     61.62    0.0830%
model.layers.0.self_attn.q_proj.weight                  12,845,056   18.74%     1,005  0.008%     68.10    0.0393%
model.layers.0.self_attn.v_proj.weight                   1,835,008   18.74%       140  0.008%     69.68    0.0328%
model.layers.1.mlp.down_proj.weight                     67,895,296   18.74%    18,516  0.027%     59.27    0.1088%
model.layers.1.mlp.gate_proj.weight                     67,895,296   18.74%    35,808  0.053%     58.54    0.1183%
model.layers.1.mlp.up_proj.weight                       67,895,296   18.74%    16,757  0.025%     62.46    0.0753%
model.layers.1.self_attn.k_proj.weight                   1,835,008   18.74%       640  0.035%     59.14    0.1103%
model.layers.1.self_attn.o_proj.weight                  12,845,056   18.74%       994  0.008%     65.38    0.0538%
model.layers.1.self_attn.q_proj.weight                  12,845,056   18.74%     5,633  0.044%     57.61    0.1316%
model.layers.1.self_attn.v_proj.weight                   1,835,008   18.74%       220  0.012%     66.52    0.0472%
model.layers.2.mlp.down_proj.weight                     67,895,296   18.74%     9,280  0.014%     61.60    0.0832%
model.layers.2.mlp.gate_proj.weight                     67,895,296   18.74%    17,631  0.026%     61.54    0.0837%
model.layers.2.mlp.up_proj.weight                       67,895,296   18.74%     8,049  0.012%     65.27    0.0545%
model.layers.2.self_attn.k_proj.weight                   1,835,008   18.74%       370  0.020%     61.68    0.0824%
model.layers.2.self_attn.o_proj.weight                  12,845,056   18.74%       934  0.007%     62.94    0.0713%
model.layers.2.self_attn.q_proj.weight                  12,845,056   18.74%     3,097  0.024%     63.25    0.0688%
model.layers.2.self_attn.v_proj.weight                   1,835,008   18.74%       204  0.011%     83.60    0.0066%
model.layers.3.mlp.down_proj.weight                     67,895,296   18.74%     5,936  0.009%     63.05    0.0704%
model.layers.3.mlp.gate_proj.weight                     67,895,296   18.74%     5,504  0.008%     69.08    0.0352%
model.layers.3.mlp.up_proj.weight                       67,895,296   18.74%     5,033  0.007%     64.73    0.0580%
model.layers.3.self_attn.k_proj.weight                   1,835,008   18.74%       243  0.013%     64.21    0.0616%
model.layers.3.self_attn.o_proj.weight                  12,845,056   18.74%     1,181  0.009%     62.80    0.0724%
model.layers.3.self_attn.q_proj.weight                  12,845,056   18.74%     1,907  0.015%     66.04    0.0499%
model.layers.3.self_attn.v_proj.weight                   1,835,008   18.74%       194  0.011%     64.38    0.0604%
model.layers.4.mlp.down_proj.weight                     67,895,296   18.74%     5,610  0.008%     62.54    0.0747%
model.layers.4.mlp.gate_proj.weight                     67,895,296   18.74%     5,435  0.008%     72.01    0.0251%
model.layers.4.mlp.up_proj.weight                       67,895,296   18.74%     4,862  0.007%     66.54    0.0471%
model.layers.4.self_attn.k_proj.weight                   1,835,008   18.74%       213  0.012%     67.12    0.0441%
model.layers.4.self_attn.o_proj.weight                  12,845,056   18.74%     1,065  0.008%     63.76    0.0649%
model.layers.4.self_attn.q_proj.weight                  12,845,056   18.74%     1,892  0.015%     65.00    0.0563%
model.layers.4.self_attn.v_proj.weight                   1,835,008   18.74%       210  0.011%     65.66    0.0521%
model.layers.5.mlp.down_proj.weight                     67,895,296   18.74%     5,518  0.008%     62.05    0.0790%
model.layers.5.mlp.gate_proj.weight                     67,895,296   18.74%     5,592  0.008%     69.76    0.0325%
model.layers.5.mlp.up_proj.weight                       67,895,296   18.74%     5,000  0.007%     64.16    0.0620%
model.layers.5.self_attn.k_proj.weight                   1,835,008   18.74%       188  0.010%     61.07    0.0884%
model.layers.5.self_attn.o_proj.weight                  12,845,056   18.74%       948  0.007%     65.64    0.0523%
model.layers.5.self_attn.q_proj.weight                  12,845,056   18.74%     1,253  0.010%     65.92    0.0506%
model.layers.5.self_attn.v_proj.weight                   1,835,008   18.74%       141  0.008%     68.10    0.0394%
model.layers.6.self_attn.k_proj.weight                   1,835,008   18.74%       167  0.009%     66.64    0.0465%
model.layers.6.self_attn.o_proj.weight                  12,845,056   18.74%     1,059  0.008%     64.64    0.0586%
model.layers.6.self_attn.q_proj.weight                  12,845,056   18.74%     1,127  0.009%     65.01    0.0562%
model.layers.6.self_attn.v_proj.weight                   1,835,008   18.74%       130  0.007%     68.60    0.0372%
model.layers.10.mlp.down_proj.weight                    67,895,296   18.74%     5,648  0.008%     64.17    0.0619%
model.layers.10.mlp.gate_proj.weight                    67,895,296   18.74%     5,528  0.008%     63.97    0.0633%
model.layers.10.mlp.up_proj.weight                      67,895,296   18.74%     5,304  0.008%     64.76    0.0578%
model.layers.10.self_attn.k_proj.weight                  1,835,008   18.74%       169  0.009%     67.48    0.0423%
model.layers.10.self_attn.o_proj.weight                 12,845,056   18.74%     1,201  0.009%     62.70    0.0733%
model.layers.10.self_attn.q_proj.weight                 12,845,056   18.74%     1,139  0.009%     65.67    0.0521%
model.layers.10.self_attn.v_proj.weight                  1,835,008   18.74%       149  0.008%     73.77    0.0205%
model.layers.11.mlp.down_proj.weight                    67,895,296   18.74%     5,721  0.008%     64.77    0.0578%
