Model: TinyLlama_TinyLlama-1.1B-Chat-v1.0  r_cap=3  W=4096  scheme=bitmap+mantissa-borrow
layer                                                        numel   saved%   loss_ct   loss%   SNR(dB)  rms_norm%
------------------------------------------------------------------------------------------------------------------
lm_head.weight                                          65,536,000   24.99% 1,038,515  1.585%     44.97    0.5644%
model.embed_tokens.weight                               65,536,000   24.99%   893,051  1.363%     44.56    0.5916%
model.layers.0.mlp.down_proj.weight                     11,534,336   24.99%   147,706  1.281%     48.48    0.3768%
model.layers.0.mlp.gate_proj.weight                     11,534,336   24.99%   151,182  1.311%     47.39    0.4271%
model.layers.0.mlp.up_proj.weight                       11,534,336   24.99%   142,923  1.239%     49.88    0.3206%
model.layers.0.self_attn.k_proj.weight                     524,288   24.99%    28,734  5.481%     34.65    1.8520%
model.layers.0.self_attn.o_proj.weight                   4,194,304   24.99%    90,531  2.158%     39.90    1.0117%
model.layers.0.self_attn.q_proj.weight                   4,194,304   24.99%   169,785  4.048%     36.77    1.4512%
model.layers.0.self_attn.v_proj.weight                     524,288   24.99%    10,029  1.913%     46.98    0.4478%
model.layers.1.mlp.down_proj.weight                     11,534,336   24.99%   138,827  1.204%     49.29    0.3434%
model.layers.1.mlp.gate_proj.weight                     11,534,336   24.99%   134,887  1.169%     48.72    0.3663%
model.layers.1.mlp.up_proj.weight                       11,534,336   24.99%   136,616  1.184%     50.60    0.2950%
model.layers.1.self_attn.k_proj.weight                     524,288   24.99%    17,238  3.288%     40.43    0.9518%
model.layers.1.self_attn.o_proj.weight                   4,194,304   24.99%    66,325  1.581%     47.42    0.4256%
model.layers.1.self_attn.q_proj.weight                   4,194,304   24.99%   134,003  3.195%     42.06    0.7884%
model.layers.1.self_attn.v_proj.weight                     524,288   24.99%     9,751  1.860%     48.67    0.3686%
model.layers.10.mlp.down_proj.weight                    11,534,336   24.99%   137,083  1.188%     50.39    0.3025%
model.layers.10.mlp.gate_proj.weight                    11,534,336   24.99%   147,034  1.275%     45.98    0.5026%
model.layers.10.mlp.up_proj.weight                      11,534,336   24.99%   136,291  1.182%     50.44    0.3006%
model.layers.10.self_attn.k_proj.weight                    524,288   24.99%     8,097  1.544%     48.74    0.3656%
model.layers.10.self_attn.o_proj.weight                  4,194,304   24.99%    57,925  1.381%     49.95    0.3182%
model.layers.10.self_attn.q_proj.weight                  4,194,304   24.99%    62,151  1.482%     47.79    0.4078%
model.layers.10.self_attn.v_proj.weight                    524,288   24.99%     8,315  1.586%     47.04    0.4449%
model.layers.11.mlp.down_proj.weight                    11,534,336   24.99%   138,203  1.198%     50.36    0.3033%
model.layers.11.mlp.gate_proj.weight                    11,534,336   24.99%   147,984  1.283%     45.84    0.5106%
model.layers.11.mlp.up_proj.weight                      11,534,336   24.99%   136,760  1.186%     50.40    0.3021%
model.layers.11.self_attn.k_proj.weight                    524,288   24.99%     7,336  1.399%     48.23    0.3878%
model.layers.11.self_attn.o_proj.weight                  4,194,304   24.99%    61,453  1.465%     49.17    0.3478%
model.layers.11.self_attn.q_proj.weight                  4,194,304   24.99%    61,185  1.459%     46.89    0.4526%
model.layers.11.self_attn.v_proj.weight                    524,288   24.99%     8,054  1.536%     46.24    0.4873%
model.layers.12.mlp.down_proj.weight                    11,534,336   24.99%   141,278  1.225%     50.09    0.3129%
model.layers.12.mlp.gate_proj.weight                    11,534,336   24.99%   158,434  1.374%     45.60    0.5245%
model.layers.12.mlp.up_proj.weight                      11,534,336   24.99%   140,125  1.215%     49.78    0.3245%
model.layers.12.self_attn.k_proj.weight                    524,288   24.99%     7,740  1.476%     46.98    0.4478%
model.layers.12.self_attn.o_proj.weight                  4,194,304   24.99%    57,218  1.364%     49.01    0.3542%
model.layers.12.self_attn.q_proj.weight                  4,194,304   24.99%    59,847  1.427%     47.59    0.4174%
model.layers.12.self_attn.v_proj.weight                    524,288   24.99%     8,025  1.531%     51.34    0.2711%
model.layers.13.mlp.down_proj.weight                    11,534,336   24.99%   140,333  1.217%     49.80    0.3235%
model.layers.13.mlp.gate_proj.weight                    11,534,336   24.99%   157,172  1.363%     45.44    0.5346%
model.layers.13.mlp.up_proj.weight                      11,534,336   24.99%   139,580  1.210%     49.42    0.3379%
model.layers.13.self_attn.k_proj.weight                    524,288   24.99%     7,406  1.413%     46.82    0.4559%
model.layers.13.self_attn.o_proj.weight                  4,194,304   24.99%    58,802  1.402%     49.71    0.3269%
model.layers.13.self_attn.q_proj.weight                  4,194,304   24.99%    59,730  1.424%     47.28    0.4325%
model.layers.13.self_attn.v_proj.weight                    524,288   24.99%     8,143  1.553%     47.29    0.4321%
model.layers.14.mlp.down_proj.weight                    11,534,336   24.99%   138,900  1.204%     48.74    0.3656%
model.layers.14.mlp.gate_proj.weight                    11,534,336   24.99%   158,444  1.374%     45.27    0.5450%
model.layers.14.mlp.up_proj.weight                      11,534,336   24.99%   139,627  1.211%     48.55    0.3738%
model.layers.14.self_attn.k_proj.weight                    524,288   24.99%     7,617  1.453%     46.20    0.4899%
model.layers.14.self_attn.o_proj.weight                  4,194,304   24.99%    60,672  1.447%     47.35    0.4291%
model.layers.14.self_attn.q_proj.weight                  4,194,304   24.99%    60,682  1.447%     46.74    0.4601%
model.layers.14.self_attn.v_proj.weight                    524,288   24.99%     8,166  1.558%     47.96    0.3999%
model.layers.15.mlp.down_proj.weight                    11,534,336   24.99%   137,566  1.193%     49.14    0.3490%
model.layers.15.mlp.gate_proj.weight                    11,534,336   24.99%   157,319  1.364%     45.43    0.5349%
model.layers.15.mlp.up_proj.weight                      11,534,336   24.99%   137,063  1.188%     48.76    0.3648%
