Model: microsoft_phi-2  r_cap=3  W=4096  scheme=bitmap+mantissa-borrow
layer                                                        numel   saved%   loss_ct   loss%   SNR(dB)  rms_norm%
------------------------------------------------------------------------------------------------------------------
model.embed_tokens.weight                               131,072,000   24.99% 2,825,939  2.156%     36.00    1.5842%
model.layers.0.mlp.fc1.bias                                 10,240   24.99%       133  1.299%     42.46    0.7536%
model.layers.0.mlp.fc1.weight                           26,214,400   24.99%   761,558  2.905%     42.16    0.7802%
model.layers.0.mlp.fc2.weight                           26,214,400   24.99% 3,216,776 12.271%     38.82    1.1455%
model.layers.0.self_attn.dense.weight                    6,553,600   24.99%   100,319  1.531%     43.76    0.6488%
model.layers.0.self_attn.k_proj.weight                   6,553,600   24.99%   101,810  1.553%     43.59    0.6618%
model.layers.0.self_attn.q_proj.weight                   6,553,600   24.99%    98,544  1.504%     45.60    0.5246%
model.layers.0.self_attn.v_proj.weight                   6,553,600   24.99%    99,918  1.525%     48.30    0.3847%
model.layers.1.mlp.fc1.bias                                 10,240   24.99%        89  0.869%     55.63    0.1653%
model.layers.1.mlp.fc1.weight                           26,214,400   24.99%   319,973  1.221%     50.84    0.2871%
model.layers.1.mlp.fc2.weight                           26,214,400   24.99%   461,452  1.760%     43.86    0.6413%
model.layers.1.self_attn.dense.weight                    6,553,600   24.99%    80,083  1.222%     46.91    0.4511%
model.layers.1.self_attn.k_proj.weight                   6,553,600   24.99%    85,713  1.308%     48.30    0.3845%
model.layers.1.self_attn.q_proj.weight                   6,553,600   24.99%    84,457  1.289%     48.73    0.3660%
model.layers.1.self_attn.v_proj.weight                   6,553,600   24.99%    83,786  1.278%     49.83    0.3225%
model.layers.10.mlp.fc1.bias                                10,240   24.99%       100  0.977%     54.67    0.1847%
model.layers.10.mlp.fc1.weight                          26,214,400   24.99%   351,751  1.342%     50.93    0.2842%
model.layers.10.mlp.fc2.weight                          26,214,400   24.99%   412,979  1.575%     49.53    0.3339%
model.layers.10.self_attn.dense.weight                   6,553,600   24.99%    94,934  1.449%     51.75    0.2586%
model.layers.10.self_attn.k_proj.weight                  6,553,600   24.99%    86,090  1.314%     47.04    0.4447%
model.layers.10.self_attn.q_proj.weight                  6,553,600   24.99%    84,146  1.284%     46.97    0.4484%
model.layers.10.self_attn.v_proj.weight                  6,553,600   24.99%    96,035  1.465%     51.38    0.2698%
model.layers.11.mlp.fc1.bias                                10,240   24.99%       122  1.191%     50.19    0.3093%
model.layers.11.mlp.fc1.weight                          26,214,400   24.99%   356,062  1.358%     51.23    0.2743%
model.layers.11.mlp.fc2.weight                          26,214,400   24.99%   416,499  1.589%     49.44    0.3375%
model.layers.11.self_attn.dense.weight                   6,553,600   24.99%    93,420  1.425%     52.07    0.2492%
model.layers.11.self_attn.k_proj.weight                  6,553,600   24.99%    85,273  1.301%     47.04    0.4444%
model.layers.11.self_attn.q_proj.weight                  6,553,600   24.99%    83,479  1.274%     47.19    0.4370%
model.layers.11.self_attn.v_proj.weight                  6,553,600   24.99%    92,416  1.410%     51.26    0.2737%
model.layers.12.mlp.fc1.bias                                10,240   24.99%       114  1.113%     55.28    0.1723%
model.layers.12.mlp.fc1.weight                          26,214,400   24.99%   359,429  1.371%     51.25    0.2739%
model.layers.12.mlp.fc2.weight                          26,214,400   24.99%   411,738  1.571%     49.85    0.3219%
model.layers.12.self_attn.dense.weight                   6,553,600   24.99%    93,355  1.424%     51.26    0.2734%
model.layers.12.self_attn.k_proj.weight                  6,553,600   24.99%    85,888  1.311%     46.57    0.4694%
model.layers.12.self_attn.q_proj.weight                  6,553,600   24.99%    84,901  1.295%     46.46    0.4751%
model.layers.12.self_attn.v_proj.weight                  6,553,600   24.99%    92,234  1.407%     51.13    0.2777%
model.layers.13.mlp.fc1.bias                                10,240   24.99%        86  0.840%     57.97    0.1263%
model.layers.13.mlp.fc1.weight                          26,214,400   24.99%   357,371  1.363%     51.19    0.2757%
model.layers.13.mlp.fc2.weight                          26,214,400   24.99%   406,970  1.552%     50.10    0.3125%
model.layers.13.self_attn.dense.weight                   6,553,600   24.99%    93,031  1.420%     52.16    0.2467%
model.layers.13.self_attn.k_proj.weight                  6,553,600   24.99%    86,641  1.322%     46.80    0.4572%
model.layers.13.self_attn.q_proj.weight                  6,553,600   24.99%    84,826  1.294%     46.71    0.4619%
model.layers.13.self_attn.v_proj.weight                  6,553,600   24.99%    92,468  1.411%     51.42    0.2686%
model.layers.14.mlp.fc1.bias                                10,240   24.99%       113  1.104%     55.22    0.1734%
model.layers.14.mlp.fc1.weight                          26,214,400   24.99%   357,012  1.362%     51.17    0.2763%
model.layers.14.mlp.fc2.weight                          26,214,400   24.99%   406,090  1.549%     50.11    0.3121%
model.layers.14.self_attn.dense.weight                   6,553,600   24.99%    91,357  1.394%     52.14    0.2472%
model.layers.14.self_attn.k_proj.weight                  6,553,600   24.99%    84,987  1.297%     47.09    0.4420%
model.layers.14.self_attn.q_proj.weight                  6,553,600   24.99%    86,622  1.322%     44.37    0.6045%
model.layers.14.self_attn.v_proj.weight                  6,553,600   24.99%    91,917  1.403%     51.55    0.2645%
model.layers.15.mlp.fc1.bias                                10,240   24.99%       114  1.113%     51.31    0.2719%
model.layers.15.mlp.fc1.weight                          26,214,400   24.99%   358,423  1.367%     51.31    0.2718%
model.layers.15.mlp.fc2.weight                          26,214,400   24.99%   406,465  1.551%     50.12    0.3119%
model.layers.15.self_attn.dense.weight                   6,553,600   24.99%    92,020  1.404%     52.07    0.2491%
model.layers.15.self_attn.k_proj.weight                  6,553,600   24.99%    84,491  1.289%     47.17    0.4380%
model.layers.15.self_attn.q_proj.weight                  6,553,600   24.99%    82,194  1.254%     46.97    0.4481%
model.layers.15.self_attn.v_proj.weight                  6,553,600   24.99%    92,406  1.410%     51.70    0.2600%
model.layers.16.mlp.fc1.bias                                10,240   24.99%       104  1.016%     55.35    0.1708%
model.layers.16.mlp.fc1.weight                          26,214,400   24.99%   359,077  1.370%     51.40    0.2691%
model.layers.16.mlp.fc2.weight                          26,214,400   24.99%   398,490  1.520%     50.25    0.3072%
model.layers.16.self_attn.dense.weight                   6,553,600   24.99%    90,308  1.378%     52.07    0.2492%
model.layers.16.self_attn.k_proj.weight                  6,553,600   24.99%    84,683  1.292%     46.96    0.4487%
model.layers.16.self_attn.q_proj.weight                  6,553,600   24.99%    83,451  1.273%     46.93    0.4503%
model.layers.16.self_attn.v_proj.weight                  6,553,600   24.99%    90,435  1.380%     51.36    0.2704%
model.layers.17.mlp.fc1.bias                                10,240   24.99%       115  1.123%     50.96    0.2830%
model.layers.17.mlp.fc1.weight                          26,214,400   24.99%   361,990  1.381%     51.17    0.2764%
model.layers.17.mlp.fc2.weight                          26,214,400   24.99%   401,437  1.531%     50.00    0.3163%
model.layers.17.self_attn.dense.weight                   6,553,600   24.99%    90,274  1.377%     52.33    0.2418%
model.layers.17.self_attn.k_proj.weight                  6,553,600   24.99%    86,227  1.316%     46.55    0.4702%
model.layers.17.self_attn.q_proj.weight                  6,553,600   24.99%    84,992  1.297%     46.51    0.4725%
model.layers.17.self_attn.v_proj.weight                  6,553,600   24.99%    90,893  1.387%     52.25    0.2440%
model.layers.18.mlp.fc1.bias                                10,240   24.99%       109  1.064%     48.76    0.3646%
model.layers.18.mlp.fc1.weight                          26,214,400   24.99%   362,214  1.382%     51.69    0.2604%
model.layers.18.mlp.fc2.weight                          26,214,400   24.99%   393,713  1.502%     50.62    0.2943%
model.layers.18.self_attn.dense.weight                   6,553,600   24.99%    90,174  1.376%     52.32    0.2420%
model.layers.18.self_attn.k_proj.weight                  6,553,600   24.99%    85,608  1.306%     45.74    0.5167%
model.layers.18.self_attn.q_proj.weight                  6,553,600   24.99%    85,164  1.299%     46.09    0.4961%
model.layers.18.self_attn.v_proj.weight                  6,553,600   24.99%    90,430  1.380%     52.13    0.2476%
model.layers.19.mlp.fc1.bias                                10,240   24.99%        89  0.869%     54.62    0.1859%
model.layers.19.mlp.fc1.weight                          26,214,400   24.99%   356,290  1.359%     51.64    0.2618%
model.layers.19.mlp.fc2.weight                          26,214,400   24.99%   376,403  1.436%     49.99    0.3165%
model.layers.19.self_attn.dense.weight                   6,553,600   24.99%    89,620  1.367%     52.25    0.2440%
model.layers.19.self_attn.k_proj.weight                  6,553,600   24.99%    84,278  1.286%     46.80    0.4572%
model.layers.19.self_attn.q_proj.weight                  6,553,600   24.99%    81,726  1.247%     46.79    0.4578%
model.layers.19.self_attn.v_proj.weight                  6,553,600   24.99%    90,651  1.383%     52.06    0.2496%
model.layers.2.mlp.fc1.bias                                 10,240   24.99%        84  0.820%     49.81    0.3231%
model.layers.2.mlp.fc1.weight                           26,214,400   24.99%   338,896  1.293%     49.79    0.3240%
model.layers.2.mlp.fc2.weight                           26,214,400   24.99%   495,390  1.890%     42.57    0.7442%
model.layers.2.self_attn.dense.weight                    6,553,600   24.99%    79,936  1.220%     45.12    0.5544%
model.layers.2.self_attn.k_proj.weight                   6,553,600   24.99%    88,468  1.350%     46.98    0.4480%
model.layers.2.self_attn.q_proj.weight                   6,553,600   24.99%    88,942  1.357%     47.32    0.4308%
model.layers.2.self_attn.v_proj.weight                   6,553,600   24.99%    86,895  1.326%     45.11    0.5555%
model.layers.20.mlp.fc1.bias                                10,240   24.99%        89  0.869%     48.98    0.3557%
model.layers.20.mlp.fc1.weight                          26,214,400   24.99%   351,085  1.339%     51.87    0.2549%
model.layers.20.mlp.fc2.weight                          26,214,400   24.99%   374,179  1.427%     49.96    0.3177%
model.layers.20.self_attn.dense.weight                   6,553,600   24.99%    92,282  1.408%     52.17    0.2464%
model.layers.20.self_attn.k_proj.weight                  6,553,600   24.99%    86,161  1.315%     45.43    0.5350%
model.layers.20.self_attn.q_proj.weight                  6,553,600   24.99%    87,958  1.342%     43.77    0.6479%
model.layers.20.self_attn.v_proj.weight                  6,553,600   24.99%    91,280  1.393%     51.73    0.2591%
model.layers.21.mlp.fc1.bias                                10,240   24.99%       120  1.172%     48.04    0.3964%
model.layers.21.mlp.fc1.weight                          26,214,400   24.99%   351,038  1.339%     51.72    0.2595%
model.layers.21.mlp.fc2.weight                          26,214,400   24.99%   371,425  1.417%     48.77    0.3642%
model.layers.21.self_attn.dense.weight                   6,553,600   24.99%    87,114  1.329%     51.30    0.2721%
model.layers.21.self_attn.k_proj.weight                  6,553,600   24.99%    85,964  1.312%     47.00    0.4466%
model.layers.21.self_attn.q_proj.weight                  6,553,600   24.99%    83,459  1.273%     47.31    0.4310%
model.layers.21.self_attn.v_proj.weight                  6,553,600   24.99%    88,558  1.351%     50.91    0.2847%
model.layers.22.mlp.fc1.bias                                10,240   24.99%       119  1.162%     48.47    0.3770%
model.layers.22.mlp.fc1.weight                          26,214,400   24.99%   348,308  1.329%     52.09    0.2486%
model.layers.22.mlp.fc2.weight                          26,214,400   24.99%   366,893  1.400%     49.47    0.3361%
model.layers.22.self_attn.dense.weight                   6,553,600   24.99%    84,874  1.295%     51.51    0.2657%
model.layers.22.self_attn.k_proj.weight                  6,553,600   24.99%    86,686  1.323%     46.48    0.4741%
model.layers.22.self_attn.q_proj.weight                  6,553,600   24.99%    87,514  1.335%     45.46    0.5335%
model.layers.22.self_attn.v_proj.weight                  6,553,600   24.99%    87,626  1.337%     51.36    0.2705%
model.layers.23.mlp.fc1.bias                                10,240   24.99%       116  1.133%     44.02    0.6295%
model.layers.23.mlp.fc1.weight                          26,214,400   24.99%   343,283  1.310%     52.21    0.2453%
model.layers.23.mlp.fc2.weight                          26,214,400   24.99%   364,572  1.391%     48.82    0.3624%
model.layers.23.self_attn.dense.weight                   6,553,600   24.99%    89,212  1.361%     51.49    0.2664%
model.layers.23.self_attn.k_proj.weight                  6,553,600   24.99%    83,658  1.277%     46.41    0.4779%
model.layers.23.self_attn.q_proj.weight                  6,553,600   24.99%    84,727  1.293%     45.38    0.5384%
