Model: mistralai_Mistral-7B-v0.1  r_cap=4  W=4096  scheme=bitmap+mantissa-borrow
layer                                                        numel   saved%   loss_ct   loss%   SNR(dB)  rms_norm%
------------------------------------------------------------------------------------------------------------------
model.embed_tokens.weight                               131,072,000   18.74%     9,063  0.007%     76.53    0.0149%
model.layers.0.input_layernorm.weight                        4,096   18.74%       159  3.882%     34.31    1.9244%
model.layers.0.mlp.down_proj.weight                     58,720,256   18.74%     4,235  0.007%     65.06    0.0559%
model.layers.0.mlp.gate_proj.weight                     58,720,256   18.74%     4,054  0.007%     71.21    0.0275%
model.layers.0.mlp.up_proj.weight                       58,720,256   18.74%     4,052  0.007%     72.77    0.0230%
model.layers.0.post_attention_layernorm.weight               4,096   18.74%         2  0.049%    115.33    0.0002%
model.layers.0.self_attn.k_proj.weight                   4,194,304   18.74%     8,438  0.201%     45.82    0.5118%
model.layers.0.self_attn.o_proj.weight                  16,777,216   18.74%     2,253  0.013%     64.65    0.0586%
model.layers.0.self_attn.q_proj.weight                  16,777,216   18.74%   149,278  0.890%     41.03    0.8886%
model.layers.0.self_attn.v_proj.weight                   4,194,304   18.74%       668  0.016%     62.50    0.0750%
model.layers.1.input_layernorm.weight                        4,096   18.74%       993 24.243%     44.81    0.5749%
model.layers.1.mlp.down_proj.weight                     58,720,256   18.74%     4,218  0.007%     63.06    0.0703%
model.layers.1.mlp.gate_proj.weight                     58,720,256   18.74%     3,746  0.006%     70.62    0.0295%
model.layers.1.mlp.up_proj.weight                       58,720,256   18.74%     4,080  0.007%     73.90    0.0202%
model.layers.1.post_attention_layernorm.weight               4,096   18.74%         3  0.073%    118.95    0.0001%
model.layers.1.self_attn.k_proj.weight                   4,194,304   18.74%    10,235  0.244%     48.99    0.3552%
model.layers.1.self_attn.o_proj.weight                  16,777,216   18.74%     1,467  0.009%     67.25    0.0434%
model.layers.1.self_attn.q_proj.weight                  16,777,216   18.74%   149,989  0.894%     46.78    0.4579%
model.layers.1.self_attn.v_proj.weight                   4,194,304   18.74%     1,407  0.034%     67.10    0.0442%
model.layers.10.input_layernorm.weight                       4,096   18.74%         0  0.000%       inf    0.0000%
model.layers.10.mlp.down_proj.weight                    58,720,256   18.74%     4,358  0.007%     65.68    0.0520%
model.layers.10.mlp.gate_proj.weight                    58,720,256   18.74%     4,069  0.007%     67.66    0.0414%
model.layers.10.mlp.up_proj.weight                      58,720,256   18.74%     4,184  0.007%     69.27    0.0344%
model.layers.10.post_attention_layernorm.weight              4,096   18.74%         0  0.000%       inf    0.0000%
model.layers.10.self_attn.k_proj.weight                  4,194,304   18.74%       322  0.008%     68.21    0.0389%
model.layers.10.self_attn.o_proj.weight                 16,777,216   18.74%     1,379  0.008%     71.61    0.0263%
model.layers.10.self_attn.q_proj.weight                 16,777,216   18.74%     1,385  0.008%     68.05    0.0396%
model.layers.10.self_attn.v_proj.weight                  4,194,304   18.74%       356  0.008%     71.08    0.0279%
model.layers.11.input_layernorm.weight                       4,096   18.74%         0  0.000%       inf    0.0000%
model.layers.11.mlp.down_proj.weight                    58,720,256   18.74%     4,282  0.007%     65.91    0.0507%
model.layers.11.mlp.gate_proj.weight                    58,720,256   18.74%     4,176  0.007%     65.52    0.0530%
model.layers.11.mlp.up_proj.weight                      58,720,256   18.74%     4,152  0.007%     68.46    0.0378%
model.layers.11.post_attention_layernorm.weight              4,096   18.74%         0  0.000%       inf    0.0000%
model.layers.11.self_attn.k_proj.weight                  4,194,304   18.74%       342  0.008%     65.11    0.0555%
model.layers.11.self_attn.o_proj.weight                 16,777,216   18.74%     1,362  0.008%     69.91    0.0319%
model.layers.11.self_attn.q_proj.weight                 16,777,216   18.74%     1,281  0.008%     68.64    0.0370%
model.layers.11.self_attn.v_proj.weight                  4,194,304   18.74%       321  0.008%     76.11    0.0156%
model.layers.12.input_layernorm.weight                       4,096   18.74%         0  0.000%       inf    0.0000%
model.layers.12.mlp.down_proj.weight                    58,720,256   18.74%     4,182  0.007%     66.74    0.0460%
model.layers.12.mlp.gate_proj.weight                    58,720,256   18.74%     4,051  0.007%     65.05    0.0559%
model.layers.12.mlp.up_proj.weight                      58,720,256   18.74%     4,148  0.007%     69.88    0.0321%
model.layers.12.post_attention_layernorm.weight              4,096   18.74%         0  0.000%       inf    0.0000%
model.layers.12.self_attn.k_proj.weight                  4,194,304   18.74%       331  0.008%     67.98    0.0399%
model.layers.12.self_attn.o_proj.weight                 16,777,216   18.74%     1,371  0.008%     67.75    0.0410%
model.layers.12.self_attn.q_proj.weight                 16,777,216   18.74%     1,344  0.008%     66.26    0.0487%
model.layers.12.self_attn.v_proj.weight                  4,194,304   18.74%       382  0.009%     69.41    0.0339%
model.layers.13.input_layernorm.weight                       4,096   18.74%         0  0.000%       inf    0.0000%
model.layers.13.mlp.down_proj.weight                    58,720,256   18.74%     4,308  0.007%     66.27    0.0486%
model.layers.13.mlp.gate_proj.weight                    58,720,256   18.74%     4,271  0.007%     66.63    0.0466%
model.layers.13.mlp.up_proj.weight                      58,720,256   18.74%     4,017  0.007%     70.03    0.0315%
model.layers.13.post_attention_layernorm.weight              4,096   18.74%         0  0.000%       inf    0.0000%
model.layers.13.self_attn.k_proj.weight                  4,194,304   18.74%       339  0.008%     67.77    0.0409%
model.layers.13.self_attn.o_proj.weight                 16,777,216   18.74%     1,240  0.007%     72.38    0.0241%
model.layers.13.self_attn.q_proj.weight                 16,777,216   18.74%     1,278  0.008%     66.84    0.0455%
model.layers.13.self_attn.v_proj.weight                  4,194,304   18.74%       327  0.008%     73.18    0.0219%
model.layers.14.input_layernorm.weight                       4,096   18.74%         0  0.000%       inf    0.0000%
model.layers.14.mlp.down_proj.weight                    58,720,256   18.74%     4,410  0.008%     65.21    0.0549%
model.layers.14.mlp.gate_proj.weight                    58,720,256   18.74%     4,205  0.007%     66.29    0.0484%
model.layers.14.mlp.up_proj.weight                      58,720,256   18.74%     4,169  0.007%     69.41    0.0339%
model.layers.14.post_attention_layernorm.weight              4,096   18.74%         0  0.000%       inf    0.0000%
