# model=Qwen_Qwen2.5-7B
     W   r   savings   outlier_pct   underflow_pct
    16   2   28.1200      3.633000       10.021000
    16   3   21.8800      0.250000        0.773000
    16   4   15.6200      0.001000        0.003000
    16   5    9.3800      0.000000        0.000000
    16   6    3.1200      0.000000        0.000000
    32   2   29.6900      3.528000       11.153000
    32   3   23.4400      0.227000        0.951000
    32   4   17.1900      0.001000        0.004000
    32   5   10.9400      0.000000        0.000000
    32   6    4.6900      0.000000        0.000000
    64   2   30.4700      3.669000       11.601000
    64   3   24.2200      0.174000        1.115000
    64   4   17.9700      0.001000        0.004000
    64   5   11.7200      0.000000        0.000000
    64   6    5.4700      0.000000        0.000000
   128   2   30.8600      3.873000       11.728000
   128   3   24.6100      0.138000        1.218000
   128   4   18.3600      0.001000        0.005000
   128   5   12.1100      0.000000        0.000000
   128   6    5.8600      0.000000        0.000000
   256   2   31.0500      4.065000       11.730000
   256   3   24.8000      0.126000        1.267000
   256   4   18.5500      0.001000        0.005000
   256   5   12.3000      0.000000        0.000000
   256   6    6.0500      0.000000        0.000000
   512   2   31.1500      4.210000       11.687000
   512   3   24.9000      0.123000        1.289000
   512   4   18.6500      0.001000        0.006000
   512   5   12.4000      0.000000        0.000000
   512   6    6.1500      0.000000        0.000000
  1024   2   31.2000      4.407000       11.661000
  1024   3   24.9500      0.136000        1.315000
  1024   4   18.7000      0.011000        0.006000
  1024   5   12.4500      0.010000        0.000000
  1024   6    6.2000      0.010000        0.000000
  2048   2   31.2300      4.577000       11.664000
  2048   3   24.9800      0.146000        1.353000
  2048   4   18.7300      0.016000        0.012000
  2048   5   12.4800      0.014000        0.005000
  2048   6    6.2300      0.014000        0.005000
  4096   2   31.2400      4.812000       11.716000
  4096   3   24.9900      0.170000        1.414000
  4096   4   18.7400      0.025000        0.023000
  4096   5   12.4900      0.023000        0.015000
  4096   6    6.2400      0.023000        0.015000
