# model=TinyLlama_TinyLlama-1.1B-Chat-v1.0
     W   r   savings   outlier_pct   underflow_pct
    16   2   28.1200      3.423000        9.788000
    16   3   21.8800      0.219000        0.737000
    16   4   15.6200      0.001000        0.003000
    16   5    9.3800      0.000000        0.000000
    16   6    3.1200      0.000000        0.000000
    32   2   29.6900      3.299000       10.946000
    32   3   23.4400      0.177000        0.908000
    32   4   17.1900      0.001000        0.004000
    32   5   10.9400      0.000000        0.000000
    32   6    4.6900      0.000000        0.000000
    64   2   30.4700      3.337000       11.542000
    64   3   24.2200      0.133000        1.040000
    64   4   17.9700      0.001000        0.004000
    64   5   11.7200      0.000000        0.000000
    64   6    5.4700      0.000000        0.000000
   128   2   30.8600      3.433000       11.853000
   128   3   24.6100      0.120000        1.111000
   128   4   18.3600      0.001000        0.005000
   128   5   12.1100      0.000000        0.000000
   128   6    5.8600      0.000000        0.000000
   256   2   31.0500      3.541000       11.989000
   256   3   24.8000      0.121000        1.146000
   256   4   18.5500      0.001000        0.005000
   256   5   12.3000      0.000000        0.000000
   256   6    6.0500      0.000000        0.000000
   512   2   31.1500      3.643000       12.026000
   512   3   24.9000      0.123000        1.163000
   512   4   18.6500      0.001000        0.005000
   512   5   12.4000      0.000000        0.000000
   512   6    6.1500      0.000000        0.000000
  1024   2   31.2000      3.757000       12.001000
  1024   3   24.9500      0.124000        1.173000
  1024   4   18.7000      0.001000        0.006000
  1024   5   12.4500      0.000000        0.000000
  1024   6    6.2000      0.000000        0.000000
  2048   2   31.2300      3.854000       11.963000
  2048   3   24.9800      0.123000        1.181000
  2048   4   18.7300      0.001000        0.007000
  2048   5   12.4800      0.000000        0.000000
  2048   6    6.2300      0.000000        0.000000
  4096   2   31.2400      3.930000       12.051000
  4096   3   24.9900      0.131000        1.204000
  4096   4   18.7400      0.002000        0.008000
  4096   5   12.4900      0.001000        0.000000
  4096   6    6.2400      0.000000        0.000000
