# model=microsoft_phi-2
     W   r   savings   outlier_pct   underflow_pct
    16   2   28.1200      3.301000        9.968000
    16   3   21.8800      0.235000        0.789000
    16   4   15.6200      0.003000        0.021000
    16   5    9.3800      0.002000        0.018000
    16   6    3.1200      0.002000        0.018000
    32   2   29.6900      3.052000       11.145000
    32   3   23.4400      0.224000        0.946000
    32   4   17.1900      0.001000        0.024000
    32   5   10.9400      0.000000        0.020000
    32   6    4.6900      0.000000        0.020000
    64   2   30.4700      3.040000       11.641000
    64   3   24.2200      0.197000        1.095000
    64   4   17.9700      0.001000        0.025000
    64   5   11.7200      0.000000        0.020000
    64   6    5.4700      0.000000        0.020000
   128   2   30.8600      3.134000       11.798000
   128   3   24.6100      0.162000        1.215000
   128   4   18.3600      0.001000        0.025000
   128   5   12.1100      0.000000        0.020000
   128   6    5.8600      0.000000        0.020000
   256   2   31.0500      3.228000       11.837000
   256   3   24.8000      0.134000        1.294000
   256   4   18.5500      0.001000        0.026000
   256   5   12.3000      0.000000        0.020000
   256   6    6.0500      0.000000        0.020000
   512   2   31.1500      3.289000       11.843000
   512   3   24.9000      0.116000        1.337000
   512   4   18.6500      0.001000        0.026000
   512   5   12.4000      0.000000        0.020000
   512   6    6.1500      0.000000        0.020000
  1024   2   31.2000      3.397000       11.842000
  1024   3   24.9500      0.117000        1.370000
  1024   4   18.7000      0.001000        0.027000
  1024   5   12.4500      0.000000        0.020000
  1024   6    6.2000      0.000000        0.020000
  2048   2   31.2300      3.510000       11.804000
  2048   3   24.9800      0.114000        1.388000
  2048   4   18.7300      0.002000        0.028000
  2048   5   12.4800      0.000000        0.020000
  2048   6    6.2300      0.000000        0.020000
  4096   2   31.2400      3.765000       11.772000
  4096   3   24.9900      0.129000        1.443000
  4096   4   18.7400      0.002000        0.029000
  4096   5   12.4900      0.000000        0.020000
  4096   6    6.2400      0.000000        0.020000
