# model=mistralai_Mistral-7B-v0.1
     W   r   savings   outlier_pct   underflow_pct
    16   2   28.1200      3.080000       10.112000
    16   3   21.8800      0.227000        0.829000
    16   4   15.6200      0.002000        0.005000
    16   5    9.3800      0.000000        0.000000
    16   6    3.1200      0.000000        0.000000
    32   2   29.6900      2.451000       11.574000
    32   3   23.4400      0.228000        0.957000
    32   4   17.1900      0.002000        0.006000
    32   5   10.9400      0.000000        0.000000
    32   6    4.6900      0.000000        0.000000
    64   2   30.4700      1.960000       12.416000
    64   3   24.2200      0.263000        1.052000
    64   4   17.9700      0.002000        0.006000
    64   5   11.7200      0.000000        0.000000
    64   6    5.4700      0.000000        0.000000
   128   2   30.8600      1.728000       12.769000
   128   3   24.6100      0.280000        1.157000
   128   4   18.3600      0.002000        0.008000
   128   5   12.1100      0.000000        0.000000
   128   6    5.8600      0.000000        0.000000
   256   2   31.0500      1.663000       12.889000
   256   3   24.8000      0.277000        1.258000
   256   4   18.5500      0.001000        0.009000
   256   5   12.3000      0.000000        0.000000
   256   6    6.0500      0.000000        0.000000
   512   2   31.1500      1.639000       12.938000
   512   3   24.9000      0.261000        1.340000
   512   4   18.6500      0.001000        0.010000
   512   5   12.4000      0.000000        0.000000
   512   6    6.1500      0.000000        0.000000
  1024   2   31.2000      1.628000       12.969000
  1024   3   24.9500      0.243000        1.401000
  1024   4   18.7000      0.001000        0.010000
  1024   5   12.4500      0.000000        0.000000
  1024   6    6.2000      0.000000        0.000000
  2048   2   31.2300      1.628000       12.981000
  2048   3   24.9800      0.226000        1.444000
  2048   4   18.7300      0.001000        0.010000
  2048   5   12.4800      0.000000        0.000000
  2048   6    6.2300      0.000000        0.000000
  4096   2   31.2400      1.616000       13.003000
  4096   3   24.9900      0.212000        1.474000
  4096   4   18.7400      0.001000        0.010000
  4096   5   12.4900      0.000000        0.000000
  4096   6    6.2400      0.000000        0.000000
